"IP","Port","Protocol","Country","Region","City","Provider","ISP","Last Checked"
"198.8.94.170","4145","socks4","United States","Georgia","Atlanta","Total Server Solutions L.L.C","Performive LLC","27/12/2024 5:20:43 pm"
"72.195.34.35","27360","socks4","United States","California","Irvine","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"184.178.172.5","15303","socks4","United States","Virginia","Roanoke","Cox Communications Inc.","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"190.220.25.42","4153","socks4","Argentina","Buenos Aires F.D.","San Telmo","Telmex Argentina S.A","Techtel LMDS Comunicaciones Interactivas S.A.","27/12/2024 5:20:43 pm"
"107.181.168.145","4145","socks4","United States","California","Los Angeles","Total Server Solutions L.L.C","Performive LLC","27/12/2024 5:20:43 pm"
"67.201.59.70","4145","socks4","United States","California","El Segundo","Total server solutions","PacketExchange","27/12/2024 5:20:43 pm"
"24.249.199.4","4145","socks4","United States","California","Escondido","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"72.37.216.68","4145","socks4","United States","California","Beverly Hills","ZeroLag Communications","Performive LLC","27/12/2024 5:20:43 pm"
"121.200.60.198","8010","socks4","Bangladesh","Dhaka Division","Dhaka","Drik","Drik ICT Ltd","27/12/2024 5:20:43 pm"
"70.166.167.38","57728","socks4","United States","Arizona","Phoenix","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"186.211.199.118","4145","socks4","Brazil","Rio Grande do Sul","Porto Alegre","Auxiliadora Predial Ltda","BR.Digital Provider","27/12/2024 5:20:43 pm"
"184.178.172.26","4145","socks4","United States","Virginia","Roanoke","Cox Communications Inc.","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"199.102.106.94","4145","socks4","United States","California","Beverly Hills","ZeroLag Communications","Performive LLC","27/12/2024 5:20:43 pm"
"192.111.130.2","4145","socks4","United States","Georgia","Atlanta","Total Server Solutions L.L.C.","Performive LLC","27/12/2024 5:20:43 pm"
"202.40.179.70","4145","socks4","Bangladesh","Dhaka Division","Dhaka","Ranks ITT Ltd.","Ranks ITT","27/12/2024 5:20:43 pm"
"72.195.34.60","27391","socks4","United States","California","Irvine","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"184.178.172.17","4145","socks4","United States","Virginia","Roanoke","Cox Communications Inc.","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"192.252.208.70","14282","socks4","United States","Georgia","Atlanta","Performive LLC","Performive LLC","27/12/2024 5:20:43 pm"
"192.111.139.162","4145","socks4","United States","Georgia","Atlanta","Total Server Solutions L.L.C.","Performive LLC","27/12/2024 5:20:43 pm"
"67.206.213.202","55555","socks4","Puerto Rico","San Juan","San Juan","AT&T Mobility Puerto Rico","Liberty Mobile Puerto Rico Inc.","27/12/2024 5:20:43 pm"
"72.195.114.169","4145","socks4","United States","California","Irvine","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"192.111.137.35","4145","socks4","United States","Georgia","Atlanta","Sharktek Consulting LLC","Total Server Solutions L.L.C.","27/12/2024 5:20:43 pm"
"36.95.245.81","5678","socks4","Indonesia","Jakarta","Jakarta Pusat","Telekomunikasi Indonesia","PT. Telekomunikasi Indonesia","27/12/2024 5:20:43 pm"
"184.181.217.206","4145","socks4","United States","Florida","Pensacola","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"68.71.247.130","4145","socks4","United States","California","Los Angeles","Wonderwall.com","Total Server Solutions L.L.C.","27/12/2024 5:20:43 pm"
"199.187.210.54","4145","socks4","United States","California","Los Angeles","Total Server Solutions L.L.C","Total server solutions LLC","27/12/2024 5:20:43 pm"
"174.77.111.197","4145","socks4","United States","Illinois","Chicago","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"200.170.196.94","1080","socks4","Brazil","São Paulo","São Paulo","Telium Telecomunicações Ltda","Telium Telecomunicações Ltda","27/12/2024 5:20:43 pm"
"98.170.57.231","4145","socks4","United States","Georgia","Atlanta","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"98.170.57.249","4145","socks4","United States","Georgia","Atlanta","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"213.149.154.213","5678","socks4","Bulgaria","Blagoevgrad","Razlog","VIM TV Ltd","VIM TV Ltd","27/12/2024 5:20:43 pm"
"8.213.222.247","8081","socks4","United Kingdom","England","Whitechapel","THAHTG, LLC","XIFTCS Company","27/12/2024 5:20:43 pm"
"192.111.129.145","16894","socks4","United States","Georgia","Atlanta","Total Server Solutions L.L.C.","Performive LLC","27/12/2024 5:20:43 pm"
"149.129.226.9","9080","socks4","United Kingdom","England","Whitechapel","THAHTG, LLC","XIFTCS Company","27/12/2024 5:20:43 pm"
"206.220.175.2","4145","socks4","United States","California","Los Angeles","Total Server Solutions","Performive LLC","27/12/2024 5:20:43 pm"
"72.37.217.3","4145","socks4","United States","New York","Syracuse","I Am Responding","PacketExchange","27/12/2024 5:20:43 pm"
"166.155.116.155","38360","socks4","United States","Texas","Rowlett","Service Provider Corporation","Verizon Business","27/12/2024 5:20:43 pm"
"198.8.84.3","4145","socks4","United States","California","Los Angeles","Total Server Solutions L.L.C","Performive LLC","27/12/2024 5:20:43 pm"
"177.39.211.113","1080","socks4","Brazil","Paraná","Palotina","QI Equipamentos para Informática Ltda","QI Equipamentos para Informática Ltda.","27/12/2024 5:20:43 pm"
"184.181.217.194","4145","socks4","United States","Florida","Pensacola","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"174.64.199.82","4145","socks4","United States","Louisiana","New Iberia","Cox Communications Inc.","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"8.211.195.173","80","socks4","United Kingdom","England","Whitechapel","THAHTG, LLC","XIFTCS Company","27/12/2024 5:20:43 pm"
"27.72.73.143","4153","socks4","Vietnam","Hanoi","Hanoi","","Newass2011xDSLHN","27/12/2024 5:20:43 pm"
"190.53.46.11","45535","socks4","Nicaragua","Managua Department","Ticuantepe","Amnet Datos Nicaragua","Amnet Telecomunicaciones S.A.","27/12/2024 5:20:43 pm"
"192.111.139.163","19404","socks4","United States","Georgia","Atlanta","Total Server Solutions L.L.C.","Performive LLC","27/12/2024 5:20:43 pm"
"174.77.111.196","4145","socks4","United States","Illinois","Chicago","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"68.1.210.189","4145","socks4","United States","California","San Diego","Cox Communications","Cox Communications Inc.","27/12/2024 5:20:43 pm"
"218.83.201.226","10800","socks4","China","Shanghai","Shanghai","Chinanet SH","China Telecom (Group)","27/12/2024 5:20:43 pm"
"47.91.121.127","8080","socks4","United Kingdom","England","Whitechapel","THAHTG, LLC","XIFTCS Company","27/12/2024 5:20:43 pm"
"8.221.139.222","3128","socks4","United Kingdom","England","Whitechapel","THAHTG, LLC","XIFTCS Company","27/12/2024 5:20:43 pm"
"72.214.108.67","4145","socks4","United States","California","East Irvine","Intelenet Communications","Cox Communications Inc","27/12/2024 5:20:43 pm"
"91.214.63.67","35979","socks4","Italy","Tuscany","Portoferraio","Unitel S.R.L","Unitel S.R.L.","27/12/2024 5:20:43 pm"
