ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"43.153.55.205","elite","AS132203","US","Shenzhen Tencent Computer Systems Company Limited","197","Tencent Cloud Computing","443","socks5","604","1","2025-01-24T16:04:30.406Z","86","7644","8874"
"75.119.204.222","elite","AS26347","US","New Dream Network, LLC","146","New Dream Network, LLC","23456","socks5","3911","82","2025-01-24T16:04:30.005Z","70","6226","8848"
"37.221.146.138","elite","AS3255","UA","State Enterprise Scientific and Telecommunication Centre \"Ukrainian Academic an","47","Radio Service Ltd","1080","socks5","980","1","2025-01-24T16:04:30.508Z","86","7648","8874"
"110.81.64.45","elite","AS4134","CN","Chinanet","236","Chinanet FJ","21212","socks5","5105","1","2025-01-24T16:04:30.104Z","61","5325","8775"
"188.165.201.173","elite","AS16276","FR","OVH SAS","5","OVH ISP","51102","socks5","5495","1","2025-01-24T16:04:30.408Z","100","8860","8861"
"173.212.227.160","elite","AS51167","DE","Contabo GmbH","9","Contabo GmbH","21025","socks5","1063","1","2025-01-24T16:04:30.493Z","99","2007","2024"
"36.66.16.193","elite","AS7713","ID","PT. Telekomunikasi Indonesia","294","N/A","80","socks5","2483","1","2025-01-24T16:03:47.508Z","98","2033","2069"
"125.25.33.221","elite","AS23969","TH","TOT Public Company Limited","230","TOT Public Company Limited","23969","socks5","2397","1","2025-01-24T16:03:20.309Z","90","7951","8866"
"42.49.148.167","elite","AS4837","CN","China Unicom Hunan Province Network","184","N/A","9001","socks5","4690","1","2025-01-24T16:03:19.600Z","98","2089","2124"
"49.70.82.204","elite","AS4134","CN","Chinanet","291","Chinanet JS","44844","socks5","3299","1","2025-01-24T16:03:19.704Z","56","4969","8864"
"89.239.167.157","elite","AS12389","RU","PJSC Rostelecom","83","Ulyanovsk Branch of OJSC VolgaTelecom","7788","socks5","552","1","2025-01-24T16:03:19.807Z","47","936","2005"
"116.202.177.193","elite","AS24940","DE","Hetzner Online GmbH","15","Hetzner Online GmbH","1080","socks5","1100","93","2025-01-24T16:02:56.002Z","60","5379","8957"
"103.55.216.50","elite","AS133824","ID","Universitas Islam Negeri Alauddin Makasar","276","Universitas Islam Negeri Alauddin Makasar","80","socks5","1706","1","2025-01-24T16:02:56.091Z","99","2000","2029"
"104.19.235.10","elite","AS13335","US","Cloudflare, Inc.","2","Cloudflare, Inc.","80","socks5","2705","95","2025-01-24T16:02:55.998Z","100","8868","8869"
"193.203.61.35","elite","AS41268","RU","LANTA Ltd","97","Lanta Networks","8443","socks5","4703","1","2025-01-24T16:02:14.900Z","100","8880","8919"
"104.129.205.9","elite","AS22616","US","ZSCALER, INC.","177","Zscaler, Inc.","10297","socks5","690","2","2025-01-24T16:02:14.293Z","91","8077","8923"
"104.251.81.87","elite","AS5650","US","Frontier Communications of America, Inc.","79","BraveWay LLC","14778","socks5","1589","1","2025-01-24T16:01:45.196Z","100","8825","8832"
"43.131.242.2","elite","AS132203","KR","Shenzhen Tencent Computer Systems Company Limited","332","Tencent Cloud Computing","15673","socks5","4304","1","2025-01-24T16:01:45.200Z","100","2203","2207"
