IP,Port,Country,Region,City,ISP,Download Speed (MB/s)
102.36.127.249,1080,South Africa,Mpumalanga,Nelspruit,Clear Access (Pty) Ltd,1.11
103.156.141.55,1080,Indonesia,East Java,Jember,PT Tekling Media Telematika,1.07
103.189.218.130,6969,Bangladesh,Dhaka Division,Tongi,Comfort Solutions,1.06
104.200.135.46,4145,United States,California,Los Angeles,Performive LLC,8.28
104.200.152.30,4145,United States,California,Los Angeles,Performive LLC,8.22
104.37.135.145,4145,United States,California,Los Angeles,Performive LLC,8.35
107.181.161.81,4145,United States,Texas,Sugar Land,Performive LLC,8.33
109.123.254.43,30513,Germany,North Rhine-Westphalia,Düsseldorf,Contabo GmbH,1.07
116.202.55.68,1080,Germany,Saxony,Falkenstein,Hetzner Online GmbH,9.09
13.36.104.85,80,France,Île-de-France,Paris,Amazon Technologies Inc.,9.31
13.36.113.81,3128,France,Île-de-France,Paris,Amazon Technologies Inc.,9.28
13.37.59.99,3128,France,Île-de-France,Paris,Amazon Technologies Inc.,9.30
13.37.73.214,80,France,Île-de-France,Paris,Amazon Technologies Inc.,9.29
13.38.153.36,80,France,Île-de-France,Paris,Amazon Technologies Inc.,9.25
13.38.176.104,3128,France,Île-de-France,Paris,Amazon Technologies Inc.,9.28
13.48.109.48,3128,Sweden,Stockholm,Stockholm,Amazon Technologies Inc.,8.98
13.56.192.187,80,United States,California,San Jose,"Amazon.com, Inc.",9.72
13.59.156.167,3128,United States,Ohio,Dublin,"Amazon.com, Inc.",10.42
132.148.167.56,14593,United States,Virginia,Ashburn,"GoDaddy.com, LLC",8.52
132.148.167.56,26337,United States,Virginia,Ashburn,"GoDaddy.com, LLC",8.54
15.156.24.206,3128,Canada,Ontario,Toronto,"Amazon.com, Inc.",10.50
15.236.106.236,3128,France,Île-de-France,Paris,Amazon Technologies Inc.,9.36
15.236.203.245,3128,France,Île-de-France,Paris,Amazon Technologies Inc.,9.33
16.16.239.39,3128,Sweden,Stockholm,Stockholm,Amazon.com,8.95
173.249.33.122,24285,France,Grand Est,Lauterbourg,Contabo GmbH,0.67
173.249.33.122,8292,France,Grand Est,Lauterbourg,Contabo GmbH,0.63
178.32.202.54,49280,Poland,Mazovia,Warsaw,OVH ISP,0.97
18.133.16.21,80,United Kingdom,England,London,Amazon Technologies Inc.,9.24
18.135.133.116,3128,United Kingdom,England,London,Amazon Technologies Inc.,9.23
18.169.83.87,1080,United Kingdom,England,London,Amazon Technologies Inc.,9.25
18.223.25.15,80,United States,Ohio,Dublin,"Amazon.com, Inc.",10.29
184.169.154.119,80,United States,California,San Jose,"Amazon.com, Inc.",9.53
208.89.96.187,1425,United States,Florida,Kissimmee,"Frantic, LLC.",0.79
208.89.96.187,36484,United States,Florida,Kissimmee,"Frantic, LLC.",0.71
212.47.249.156,16379,France,Île-de-France,Boissy-Saint-Léger,Online S.A.S.,1.16
51.68.74.164,23035,France,Hauts-de-France,Roubaix,OVH SAS,1.00
51.89.21.99,22548,United Kingdom,England,London,OVH SAS,1.04
52.196.1.182,80,Japan,Tokyo,Tokyo,Amazon Technologies Inc.,6.55
54.39.41.20,48218,Canada,Quebec,Beauharnois,OVH SAS,0.97
68.178.173.3,33319,Singapore,North West,Singapore,"GoDaddy.com, LLC",1.14
