"ip:port", "speed (Mbps)"
"184.178.172.14:4145
", "25.30"
"72.195.34.42:4145
", "25.36"
"162.253.68.97:4145
", "26.77"
"70.166.167.55:57745
", "24.59"
"199.58.185.9:4145
", "25.54"
"69.61.200.104:36181
", "17.70"
"192.111.139.162:4145
", "25.97"
"88.245.138.87:1080
", "21.54"
"142.54.235.9:4145
", "28.47"
"68.71.247.130:4145
", "27.10"
"104.37.135.145:4145
", "27.05"
"192.111.129.145:16894
", "24.94"
"184.170.248.5:4145
", "26.37"
"72.195.34.35:27360
", "23.98"
"192.252.214.20:15864
", "26.68"
"98.170.57.231:4145
", "25.24"
"184.181.217.220:4145
", "26.02"
"184.178.172.5:15303
", "25.99"
"184.178.172.11:4145
", "26.04"
"199.102.106.94:4145
", "29.01"
"184.181.217.213:4145
", "25.06"
"192.252.208.70:14282
", "25.53"
"184.178.172.25:15291
", "24.08"
